age,income,loan_amount,employment,education,property_area,loan_status
46,48488.32,8970.3,Self-Employed,Graduate,Rural,0
57,33748.55,17334.51,Unemployed,Not Graduate,Urban,0
36,41055.79,18833.27,Employed,Graduate,Rural,1
30,34409.19,12162.97,Employed,Not Graduate,Semiurban,0
29,45744.26,13565.64,Employed,Not Graduate,Semiurban,0
30,97215.3,7484.3,Employed,Graduate,Rural,1
37,28317.62,11850.55,Employed,Graduate,Rural,0
41,25708.46,13094.11,Employed,Graduate,Urban,1
41,88297.59,38113.25,Self-Employed,Graduate,Semiurban,1
46,45083.45,8563.06,Employed,Graduate,Urban,1
38,37510.3,23996.68,Employed,Graduate,Semiurban,1
53,74307.11,19905.34,Unemployed,Not Graduate,Urban,0
35,38474.61,14946.83,Employed,Not Graduate,Semiurban,0
65,101763.21,26996.11,Employed,Graduate,Semiurban,1
44,64290.71,15503.83,Employed,Graduate,Semiurban,1
29,40329.38,15609.95,Employed,Graduate,Urban,1
27,116183.17,13078.85,Employed,Not Graduate,Rural,1
43,38473.08,21794.82,Self-Employed,Not Graduate,Rural,1
36,65962.27,20714.47,Employed,Graduate,Semiurban,0
45,55255.16,10401.75,Employed,Graduate,Urban,1
43,82511.79,7881.72,Self-Employed,Not Graduate,Semiurban,0
37,91546.7,12317.89,Employed,Graduate,Semiurban,1
30,49652.38,9701.0,Self-Employed,Graduate,Urban,1
23,36265.89,13024.54,Self-Employed,Graduate,Semiurban,1
34,58923.12,21916.07,Employed,Graduate,Rural,1
47,37380.85,11126.44,Self-Employed,Graduate,Rural,0
40,109683.57,13132.83,Employed,Not Graduate,Urban,1
26,51772.49,13673.42,Unemployed,Not Graduate,Rural,0
40,42356.25,18757.94,Employed,Graduate,Semiurban,0
42,52779.18,5438.42,Unemployed,Not Graduate,Rural,0
29,28599.64,10481.01,Self-Employed,Graduate,Rural,0
40,33234.85,14537.89,Employed,Not Graduate,Rural,0
39,79234.38,21590.99,Employed,Graduate,Semiurban,1
27,37693.48,10973.51,Unemployed,Not Graduate,Urban,0
42,32248.78,6306.77,Self-Employed,Not Graduate,Semiurban,0
44,60758.43,17117.98,Employed,Graduate,Rural,1
49,78769.54,10361.53,Self-Employed,Not Graduate,Urban,1
49,65354.48,8301.02,Employed,Not Graduate,Urban,0
24,73014.92,10407.29,Employed,Not Graduate,Rural,0
29,36216.93,12409.16,Employed,Graduate,Semiurban,1
43,27757.9,10489.21,Employed,Not Graduate,Rural,0
43,89369.39,5529.06,Self-Employed,Not Graduate,Semiurban,1
43,43084.91,19126.43,Employed,Graduate,Urban,1
65,44341.08,22246.72,Self-Employed,Not Graduate,Rural,0
44,83389.5,17337.18,Employed,Graduate,Semiurban,1
49,61236.09,8475.42,Employed,Graduate,Semiurban,1
48,58826.94,12325.23,Employed,Graduate,Urban,1
45,116541.29,13324.92,Employed,Graduate,Rural,1
35,37895.69,16975.35,Employed,Graduate,Urban,1
46,71049.78,17454.21,Employed,Graduate,Rural,1
30,50151.58,9959.98,Employed,Not Graduate,Semiurban,0
36,54580.77,13805.17,Employed,Graduate,Semiurban,1
33,90344.68,16041.14,Employed,Graduate,Urban,1
39,60062.1,23916.62,Employed,Graduate,Semiurban,1
61,60798.38,17708.55,Self-Employed,Graduate,Rural,1
21,75282.5,18317.69,Unemployed,Not Graduate,Rural,0
45,42362.5,13815.28,Employed,Not Graduate,Rural,0
22,35042.47,23486.56,Employed,Not Graduate,Rural,1
33,32275.91,15739.13,Employed,Graduate,Rural,1
49,22324.89,9466.98,Unemployed,Graduate,Rural,0
39,111578.41,23420.06,Employed,Graduate,Rural,1
27,31530.69,17661.83,Employed,Graduate,Urban,1
31,44868.83,11190.07,Employed,Graduate,Semiurban,1
45,43882.67,11028.11,Employed,Not Graduate,Rural,0
31,55434.79,15042.43,Employed,Graduate,Urban,1
40,67934.2,16079.07,Self-Employed,Not Graduate,Semiurban,0
38,69160.79,14456.75,Employed,Graduate,Semiurban,1
31,38823.03,15131.34,Employed,Graduate,Semiurban,1
59,45850.96,26370.02,Employed,Graduate,Urban,1
44,54887.01,20508.96,Employed,Graduate,Urban,1
21,44379.08,14418.31,Unemployed,Not Graduate,Rural,0
40,93240.57,19467.94,Employed,Graduate,Urban,1
31,59658.38,8839.54,Self-Employed,Graduate,Semiurban,1
47,65772.11,15664.79,Employed,Not Graduate,Urban,1
30,63904.98,27549.03,Employed,Graduate,Urban,1
37,78385.13,12243.88,Unemployed,Graduate,Rural,1
43,52702.0,9518.06,Employed,Graduate,Rural,1
47,29180.83,10292.44,Self-Employed,Graduate,Semiurban,0
26,57519.26,8639.9,Employed,Not Graduate,Rural,0
35,37777.06,9760.46,Self-Employed,Not Graduate,Urban,0
33,39678.05,11519.5,Employed,Not Graduate,Urban,0
31,61978.67,7614.22,Employed,Graduate,Rural,1
56,80443.73,13443.45,Self-Employed,Graduate,Urban,1
42,49439.68,19166.34,Unemployed,Not Graduate,Rural,0
25,55466.43,9291.89,Unemployed,Graduate,Rural,0
47,96846.83,24531.51,Self-Employed,Graduate,Semiurban,1
59,53976.35,16388.2,Self-Employed,Graduate,Semiurban,1
48,138783.89,20175.66,Employed,Graduate,Semiurban,1
23,61463.81,10268.81,Employed,Graduate,Semiurban,0
33,24238.44,18803.72,Employed,Not Graduate,Urban,0
51,66259.67,8631.96,Employed,Not Graduate,Urban,1
31,57094.52,19074.34,Employed,Graduate,Urban,1
42,82117.06,14310.31,Employed,Graduate,Semiurban,1
46,64168.81,16668.91,Employed,Graduate,Semiurban,1
29,46379.72,8347.87,Self-Employed,Not Graduate,Semiurban,0
37,30039.87,9339.16,Employed,Graduate,Urban,1
21,45088.87,16964.72,Employed,Not Graduate,Semiurban,1
28,34884.29,9142.24,Employed,Graduate,Rural,1
35,38862.72,16079.21,Self-Employed,Graduate,Urban,1
26,62033.59,7732.17,Self-Employed,Graduate,Rural,1
54,95603.22,18756.01,Employed,Not Graduate,Urban,1
24,57403.96,8159.93,Employed,Graduate,Rural,1
34,30383.25,16662.57,Employed,Graduate,Urban,0
39,58561.99,17158.56,Employed,Graduate,Rural,0
52,79114.59,10110.11,Employed,Not Graduate,Rural,0
24,38410.53,16861.88,Employed,Not Graduate,Semiurban,0
50,46462.14,14826.58,Employed,Graduate,Rural,1
38,49309.66,10769.39,Employed,Not Graduate,Rural,0
28,35812.08,8924.7,Unemployed,Graduate,Semiurban,1
43,63532.84,6093.33,Unemployed,Graduate,Semiurban,0
40,46705.66,15365.19,Employed,Graduate,Urban,1
32,57977.66,7144.36,Employed,Graduate,Rural,1
39,34372.19,13879.08,Employed,Not Graduate,Urban,1
34,41151.54,12023.53,Employed,Not Graduate,Urban,1
39,65444.16,17529.79,Unemployed,Graduate,Rural,0
45,42229.18,11839.32,Employed,Graduate,Semiurban,1
54,97810.34,11710.26,Self-Employed,Not Graduate,Urban,1
26,41778.85,17903.44,Employed,Not Graduate,Semiurban,0
59,53630.54,15275.77,Unemployed,Graduate,Semiurban,1
21,71184.92,15160.71,Employed,Not Graduate,Semiurban,1
36,27796.18,16118.24,Self-Employed,Graduate,Urban,1
44,24237.99,7228.39,Employed,Graduate,Semiurban,1
41,26628.5,18082.78,Employed,Not Graduate,Urban,0
32,81229.49,17068.46,Employed,Graduate,Rural,0
36,39310.89,8895.73,Employed,Graduate,Urban,1
33,136390.82,12117.04,Unemployed,Graduate,Urban,1
32,39116.55,13151.32,Unemployed,Not Graduate,Semiurban,0
46,52776.46,12659.98,Self-Employed,Not Graduate,Rural,0
42,90839.0,15268.45,Employed,Graduate,Urban,1
31,109364.01,23683.8,Self-Employed,Graduate,Urban,1
47,111815.05,20593.0,Employed,Graduate,Rural,1
41,79486.82,7903.91,Employed,Graduate,Urban,1
46,73837.72,17134.14,Employed,Graduate,Semiurban,1
44,62131.65,22733.01,Employed,Not Graduate,Urban,0
30,66926.11,15595.28,Employed,Graduate,Urban,1
32,39321.46,20669.04,Employed,Graduate,Rural,1
45,35338.22,29878.91,Employed,Graduate,Rural,1
44,48954.68,20120.29,Self-Employed,Graduate,Urban,1
38,45794.81,14760.7,Employed,Not Graduate,Urban,1
39,40892.78,20293.08,Employed,Graduate,Semiurban,0
51,64767.23,14156.87,Employed,Graduate,Rural,0
32,71834.64,13488.07,Employed,Graduate,Urban,1
43,50785.33,11607.82,Employed,Graduate,Rural,0
36,88522.5,24968.38,Employed,Graduate,Semiurban,1
36,31049.08,9629.9,Employed,Graduate,Urban,1
49,45366.82,24660.23,Self-Employed,Graduate,Urban,1
46,36800.66,16316.72,Employed,Graduate,Semiurban,0
46,23234.31,7633.32,Self-Employed,Graduate,Rural,1
51,47426.09,15476.22,Employed,Graduate,Rural,1
38,46690.73,5767.47,Employed,Not Graduate,Urban,1
45,89803.56,17157.72,Self-Employed,Graduate,Urban,1
35,63090.45,19036.1,Employed,Graduate,Rural,1
41,32543.25,10541.32,Employed,Graduate,Urban,1
37,102912.77,14036.54,Self-Employed,Graduate,Rural,1
39,79890.6,29192.38,Employed,Not Graduate,Rural,0
44,61872.99,10912.91,Self-Employed,Graduate,Urban,0
30,44775.05,8746.75,Employed,Not Graduate,Semiurban,0
59,33397.1,24165.12,Self-Employed,Graduate,Semiurban,1
28,42239.76,29290.98,Employed,Graduate,Semiurban,1
26,75773.16,13379.49,Employed,Not Graduate,Urban,1
50,104175.74,20021.97,Employed,Graduate,Urban,1
46,90880.2,22847.35,Employed,Graduate,Rural,1
44,40314.25,9926.93,Employed,Graduate,Urban,1
44,31324.41,11002.5,Employed,Not Graduate,Semiurban,1
38,51862.67,21858.6,Employed,Graduate,Urban,0
29,24164.12,26212.87,Employed,Not Graduate,Rural,0
39,55785.38,16733.24,Employed,Graduate,Urban,1
31,46210.34,9396.33,Unemployed,Not Graduate,Rural,0
48,40683.81,29579.13,Employed,Graduate,Urban,1
37,25903.12,10803.35,Employed,Not Graduate,Rural,0
30,60200.75,11683.64,Employed,Graduate,Urban,1
35,39613.28,15320.32,Employed,Not Graduate,Semiurban,0
42,30700.47,24876.13,Unemployed,Graduate,Urban,0
32,15538.8,18799.59,Employed,Graduate,Semiurban,0
30,48484.24,15771.29,Unemployed,Graduate,Semiurban,0
40,99598.33,16079.74,Employed,Graduate,Urban,1
40,95273.19,13594.3,Self-Employed,Graduate,Semiurban,1
33,40829.56,16701.53,Employed,Not Graduate,Urban,1
33,38527.02,4857.0,Self-Employed,Not Graduate,Semiurban,0
40,59130.95,11865.1,Employed,Graduate,Rural,1
24,32880.85,14713.62,Employed,Not Graduate,Urban,1
24,55310.43,8430.36,Employed,Graduate,Urban,1
31,66598.15,15592.25,Employed,Graduate,Urban,1
36,80079.35,12310.55,Unemployed,Not Graduate,Semiurban,0
41,47095.77,26962.18,Employed,Not Graduate,Urban,1
53,45185.45,25064.5,Employed,Not Graduate,Rural,0
47,34503.19,11088.65,Self-Employed,Graduate,Rural,1
36,35215.72,12577.5,Employed,Not Graduate,Semiurban,0
38,44775.14,12970.35,Unemployed,Graduate,Urban,0
28,56780.38,11151.58,Self-Employed,Graduate,Rural,1
38,70645.79,14443.65,Employed,Graduate,Rural,1
35,35551.17,9864.4,Self-Employed,Not Graduate,Semiurban,0
41,89060.88,8499.43,Employed,Not Graduate,Urban,1
30,43982.65,17138.53,Employed,Not Graduate,Urban,0
43,48603.61,17185.34,Employed,Graduate,Urban,1
53,36356.03,9684.42,Employed,Graduate,Semiurban,1
37,18588.6,19113.35,Self-Employed,Graduate,Urban,1
42,69815.98,10377.23,Unemployed,Graduate,Rural,1
45,65823.85,14783.49,Employed,Graduate,Urban,1
34,43803.5,18548.38,Employed,Not Graduate,Semiurban,1
40,50352.13,13181.31,Unemployed,Graduate,Semiurban,0
38,60257.1,16024.86,Employed,Graduate,Rural,1
39,26238.46,10866.37,Employed,Graduate,Urban,0
30,39671.13,12350.03,Employed,Graduate,Urban,1
38,67353.21,12303.71,Unemployed,Graduate,Urban,0
43,29681.65,9910.68,Employed,Not Graduate,Urban,0
53,55128.56,12447.69,Self-Employed,Graduate,Rural,1
48,28491.68,7190.76,Self-Employed,Not Graduate,Rural,0
60,59075.53,10976.79,Employed,Graduate,Semiurban,1
30,48326.89,11920.92,Employed,Graduate,Rural,0
47,25692.32,12058.54,Self-Employed,Graduate,Rural,1
40,78111.75,12129.56,Employed,Not Graduate,Rural,0
60,36540.02,13033.71,Self-Employed,Not Graduate,Rural,0
30,35450.73,16183.97,Unemployed,Graduate,Urban,0
30,53115.69,18954.69,Employed,Graduate,Rural,0
32,77610.26,10302.01,Self-Employed,Graduate,Rural,1
21,32652.32,8256.2,Self-Employed,Graduate,Semiurban,0
33,50245.28,8805.94,Self-Employed,Not Graduate,Semiurban,0
30,58193.36,10994.15,Employed,Graduate,Urban,1
40,64682.26,11605.47,Employed,Graduate,Urban,1
41,52605.54,9818.28,Employed,Graduate,Rural,1
57,42327.36,7954.98,Self-Employed,Graduate,Rural,1
48,35205.72,11131.69,Employed,Graduate,Urban,1
32,50739.38,14365.3,Self-Employed,Graduate,Semiurban,1
29,31924.99,16949.81,Employed,Not Graduate,Semiurban,0
43,15236.66,10689.64,Employed,Not Graduate,Semiurban,0
25,58373.89,11325.37,Employed,Graduate,Urban,1
56,70373.63,9221.76,Self-Employed,Not Graduate,Semiurban,0
50,19050.09,13192.77,Employed,Graduate,Semiurban,0
33,32731.98,9515.04,Employed,Graduate,Rural,0
21,62796.94,16801.97,Employed,Graduate,Rural,1
52,111635.93,6539.74,Self-Employed,Graduate,Semiurban,1
37,49430.23,11569.74,Employed,Graduate,Rural,0
50,36636.45,15069.72,Employed,Graduate,Rural,1
22,45562.55,14379.14,Unemployed,Graduate,Rural,0
32,84961.25,39230.64,Self-Employed,Not Graduate,Rural,0
38,37858.63,15366.11,Unemployed,Graduate,Urban,1
38,35607.91,8940.78,Employed,Graduate,Semiurban,0
33,40412.83,12859.19,Employed,Graduate,Rural,0
44,33478.83,6564.96,Self-Employed,Graduate,Rural,1
27,51486.15,12935.88,Employed,Graduate,Urban,1
37,93889.27,9573.72,Self-Employed,Not Graduate,Rural,1
39,55783.41,19267.14,Employed,Graduate,Urban,1
43,44314.12,10723.4,Employed,Graduate,Urban,1
45,43620.19,12750.09,Employed,Graduate,Rural,1
27,26231.69,10360.72,Employed,Graduate,Rural,1
23,69789.85,26783.48,Employed,Graduate,Rural,1
51,47518.06,11748.76,Employed,Graduate,Urban,1
41,45606.61,27806.44,Unemployed,Graduate,Rural,1
31,175824.75,18502.49,Employed,Graduate,Urban,1
54,55243.23,16200.97,Self-Employed,Graduate,Semiurban,0
39,36289.49,15482.93,Self-Employed,Not Graduate,Rural,0
50,41334.67,15638.94,Employed,Graduate,Rural,1
39,77604.31,6179.12,Employed,Not Graduate,Urban,0
59,51292.93,11949.52,Self-Employed,Not Graduate,Urban,1
56,27575.66,18733.4,Employed,Graduate,Semiurban,1
36,70805.47,13100.96,Self-Employed,Graduate,Urban,1
48,37524.24,7615.37,Self-Employed,Graduate,Rural,1
44,103706.4,13082.6,Unemployed,Not Graduate,Rural,0
52,75509.91,26413.81,Employed,Graduate,Urban,1
28,40989.5,21999.1,Employed,Not Graduate,Semiurban,0
45,81830.6,13032.46,Employed,Not Graduate,Rural,1
49,50369.56,19547.05,Employed,Not Graduate,Urban,1
21,68948.11,11537.95,Self-Employed,Graduate,Urban,1
26,59509.61,6757.79,Employed,Graduate,Urban,1
21,34942.44,9229.99,Employed,Not Graduate,Semiurban,0
35,37895.21,24963.14,Self-Employed,Graduate,Rural,1
45,74012.13,11972.92,Employed,Graduate,Urban,1
53,42876.96,12120.41,Employed,Not Graduate,Urban,0
39,41711.85,11849.78,Employed,Graduate,Rural,0
54,33454.81,28614.09,Self-Employed,Not Graduate,Rural,0
24,58072.04,25600.92,Employed,Not Graduate,Rural,0
21,111860.74,32451.83,Self-Employed,Graduate,Urban,1
37,31983.86,12536.28,Employed,Not Graduate,Urban,0
42,49498.01,15036.71,Self-Employed,Graduate,Rural,0
38,86239.9,7283.33,Self-Employed,Graduate,Semiurban,1
21,47483.78,24119.45,Employed,Graduate,Urban,1
37,58744.26,8374.01,Employed,Graduate,Rural,1
25,32049.68,14569.86,Employed,Graduate,Rural,0
45,58181.51,8613.44,Self-Employed,Graduate,Rural,0
42,45485.2,10556.04,Employed,Graduate,Urban,1
29,72714.2,9557.63,Employed,Graduate,Semiurban,1
33,78822.55,10476.08,Employed,Not Graduate,Rural,0
27,138112.72,10768.18,Employed,Not Graduate,Rural,1
37,61812.03,10728.86,Employed,Graduate,Urban,1
48,55844.06,18645.01,Employed,Graduate,Urban,1
28,52984.45,8587.43,Employed,Graduate,Urban,1
43,42562.7,14591.82,Self-Employed,Graduate,Semiurban,1
33,56128.19,21745.97,Self-Employed,Not Graduate,Urban,0
30,43557.6,10880.43,Employed,Not Graduate,Rural,0
37,52437.87,10024.95,Unemployed,Graduate,Rural,1
28,83036.79,12182.92,Self-Employed,Graduate,Rural,1
32,32773.74,21415.93,Unemployed,Graduate,Rural,0
26,77338.83,14438.35,Employed,Graduate,Urban,1
58,83020.76,10802.3,Employed,Graduate,Urban,1
38,46759.49,16212.71,Employed,Not Graduate,Urban,0
31,20978.6,8596.27,Self-Employed,Not Graduate,Rural,0
40,38440.67,17545.34,Employed,Graduate,Rural,0
37,82355.28,15731.86,Employed,Graduate,Urban,1
36,48574.44,11812.06,Employed,Not Graduate,Rural,0
44,32868.8,9552.57,Employed,Graduate,Urban,1
46,40058.25,9370.56,Employed,Graduate,Urban,1
33,68613.73,16546.45,Employed,Graduate,Urban,1
32,61003.92,21842.05,Employed,Not Graduate,Semiurban,0
35,44552.66,10353.47,Employed,Graduate,Urban,1
21,42330.8,16048.24,Unemployed,Not Graduate,Urban,0
23,41910.71,5797.54,Self-Employed,Not Graduate,Urban,0
52,33895.45,10573.99,Unemployed,Not Graduate,Urban,0
54,93540.55,13194.78,Self-Employed,Not Graduate,Rural,0
36,43091.1,9284.73,Employed,Graduate,Urban,1
44,79766.86,9185.65,Employed,Graduate,Urban,1
41,90086.57,10228.04,Self-Employed,Not Graduate,Rural,1
